hostname,neighborName,hostPortId,neighborPortId
QSEB12DEF,SVDU13D,2,3
QSEB12DEF,SVDU13E,3,3
QSEB12DEF,SVDU13F,4,3
QSEB25DEF,QSEB12DEF,11,11
QSEB25DEF,SVDU26D,2,3
QSEB25DEF,SVDU26E,3,3
QSEB25DEF,SVDU26F,4,3
QSEB26DEF,QSEB25DEF,10,11
QSEB26DEF,SVDU27D,2,3
QSEB26DEF,SVDU27E,3,3
QSEB26DEF,SVDU27F,4,3
QSEB22DEF,QSEB26DEF,10,10
QSEB22DEF,SVDU23D,2,3
QSEB22DEF,SVDU23E,3,3
QSEB22DEF,SVDU23F,4,3
QSEB23DEF,QSEB22DEF,11,10
QSEB23DEF,SVDU24D,2,3
QSEB23DEF,SVDU24E,3,3
QSEB23DEF,SVDU24F,4,3
QSEB24DEF,QSEB23DEF,11,10
QSEB24DEF,SVDU25D,2,3
QSEB24DEF,SVDU25E,3,3
QSEB24DEF,SVDU25F,4,3
ADBG2,QSEB24DEF,3,11
QSEB13DEF,QSEB12DEF,11,10
QSEB16DEF,QSEB17DEF,11,10
QSEB10ABC,QSEB11ABC,11,10
QSEB18ABC,QSEB17ABC,10,11
